2026-05-01 17:40:32 | INFO     | modelos.vgg16.treino | Stage 1: backbone congelado, treinando cabeça (LR=1.0e-03)
2026-05-01 19:24:47 | INFO     | modelos.vgg16.treino | Época  32/50 | loss 0.1763 | acc 0.9445 | val_loss 0.5245 | val_acc 0.8904
2026-05-01 19:24:48 | INFO     | modelos.vgg16.treino |   ✓ Melhor modelo salvo (val_acc=0.8904)
2026-05-01 19:28:16 | INFO     | modelos.vgg16.treino | Época  33/50 | loss 0.1691 | acc 0.9485 | val_loss 0.5705 | val_acc 0.8806
2026-05-01 19:31:45 | INFO     | modelos.vgg16.treino | Época  34/50 | loss 0.1561 | acc 0.9530 | val_loss 0.5460 | val_acc 0.8867
2026-05-01 19:35:13 | INFO     | modelos.vgg16.treino | Época  35/50 | loss 0.1446 | acc 0.9562 | val_loss 0.6743 | val_acc 0.8776
2026-05-01 19:38:42 | INFO     | modelos.vgg16.treino | Época  36/50 | loss 0.1404 | acc 0.9584 | val_loss 0.6293 | val_acc 0.8858
2026-05-01 19:42:10 | INFO     | modelos.vgg16.treino | Época  37/50 | loss 0.1276 | acc 0.9639 | val_loss 0.6093 | val_acc 0.8861
2026-05-01 19:45:39 | INFO     | modelos.vgg16.treino | Época  38/50 | loss 0.1198 | acc 0.9641 | val_loss 0.6340 | val_acc 0.8919
2026-05-01 19:45:40 | INFO     | modelos.vgg16.treino |   ✓ Melhor modelo salvo (val_acc=0.8919)
2026-05-01 19:49:08 | INFO     | modelos.vgg16.treino | Época  39/50 | loss 0.1134 | acc 0.9693 | val_loss 0.6951 | val_acc 0.8910
2026-05-01 19:52:36 | INFO     | modelos.vgg16.treino | Época  40/50 | loss 0.1113 | acc 0.9692 | val_loss 0.7107 | val_acc 0.8892
2026-05-01 19:56:05 | INFO     | modelos.vgg16.treino | Época  41/50 | loss 0.1072 | acc 0.9694 | val_loss 0.6963 | val_acc 0.8938
2026-05-01 19:56:05 | INFO     | modelos.vgg16.treino |   ✓ Melhor modelo salvo (val_acc=0.8938)
