2026-05-02 14:51:44 | INFO     | modelos.dino.ajuste_fino | Stage 1: backbone congelado, treinando cabeça (LR=1.0e-03)
2026-05-02 16:44:43 | INFO     | modelos.dino.ajuste_fino | Época  19/50 | loss 0.6023 | acc 0.7787 | val_loss 0.5189 | val_acc 0.8145
2026-05-02 16:44:43 | INFO     | modelos.dino.ajuste_fino |   ✓ Melhor modelo salvo (val_acc=0.8145)
2026-05-02 16:48:40 | INFO     | modelos.dino.ajuste_fino | Época  20/50 | loss 0.5762 | acc 0.7875 | val_loss 0.6317 | val_acc 0.7747
2026-05-02 16:52:31 | INFO     | modelos.dino.ajuste_fino | Época  21/50 | loss 0.5726 | acc 0.7872 | val_loss 0.5963 | val_acc 0.7961
2026-05-02 16:56:27 | INFO     | modelos.dino.ajuste_fino | Época  22/50 | loss 0.5556 | acc 0.7941 | val_loss 0.5359 | val_acc 0.8093
2026-05-02 17:00:18 | INFO     | modelos.dino.ajuste_fino | Época  23/50 | loss 0.5434 | acc 0.8011 | val_loss 0.5255 | val_acc 0.8154
2026-05-02 17:00:19 | INFO     | modelos.dino.ajuste_fino |   ✓ Melhor modelo salvo (val_acc=0.8154)
2026-05-02 17:04:09 | INFO     | modelos.dino.ajuste_fino | Época  24/50 | loss 0.5307 | acc 0.8050 | val_loss 0.5095 | val_acc 0.8271
2026-05-02 17:04:10 | INFO     | modelos.dino.ajuste_fino |   ✓ Melhor modelo salvo (val_acc=0.8271)
2026-05-02 17:08:00 | INFO     | modelos.dino.ajuste_fino | Época  25/50 | loss 0.5194 | acc 0.8068 | val_loss 0.5319 | val_acc 0.8130
2026-05-02 17:11:46 | INFO     | modelos.dino.ajuste_fino | Época  26/50 | loss 0.5170 | acc 0.8092 | val_loss 0.5176 | val_acc 0.8139
2026-05-02 17:15:31 | INFO     | modelos.dino.ajuste_fino | Época  27/50 | loss 0.4929 | acc 0.8178 | val_loss 0.5160 | val_acc 0.8136
2026-05-02 17:19:20 | INFO     | modelos.dino.ajuste_fino | Época  28/50 | loss 0.4953 | acc 0.8176 | val_loss 0.4830 | val_acc 0.8350
2026-05-02 17:19:21 | INFO     | modelos.dino.ajuste_fino |   ✓ Melhor modelo salvo (val_acc=0.8350)
2026-05-02 17:23:06 | INFO     | modelos.dino.ajuste_fino | Época  29/50 | loss 0.4817 | acc 0.8207 | val_loss 0.4760 | val_acc 0.8301
