rank,run_directory_name,run_directory_path,documentation_directory,model_name,dataset_name,robust_evaluation,evaluation_dataset_kind,training_balance,is_deep_learning,started_at,completed_at,duration_seconds,date_iso,accuracy,balanced_accuracy,macro_f1,weighted_f1,micro_f1,precision_macro,recall_macro,cohen_kappa,matthews_correlation_coefficient,log_loss,roc_auc_macro,average_precision_macro,top_3_accuracy,top_5_accuracy,total_test_samples,misclassified_count,epoch_count,early_stopped,git_commit_sha,git_branch,git_is_dirty,dataset_path,dataset_sha256,dataset_size_bytes,uv_lock_sha256
11,federated_dino-sdss_decals-31-05-2026,/home/alexmrtr/a-look-outside/machine-learning/runs/federated_dino-sdss_decals-31-05-2026,/home/alexmrtr/a-look-outside/docs/models/federated_dino/federated_dino-sdss_decals-31-05-2026-client_sdss_raw_on_sdss_raw,federated_dino,client_sdss_raw_on_sdss_raw,True,natural,"{'enabled': True, 'applied': True, 'methods': ['random_over_sampling'], 'apply_to': 'train_only', 'train_distribution_before': {'0': 2423, '1': 4898, '2': 4404, '3': 244, '4': 1086, '5': 412, '6': 785, '7': 997}, 'train_distribution_after': {'0': 4898, '1': 4898, '2': 4898, '3': 4898, '4': 4898, '5': 4898, '6': 4898, '7': 4898}, 'validation_distribution': {'0': 519, '1': 1049, '2': 944, '3': 53, '4': 232, '5': 89, '6': 168, '7': 214}, 'test_distribution': {'0': 519, '1': 1050, '2': 944, '3': 52, '4': 233, '5': 88, '6': 168, '7': 214}}",True,2026-05-31T23:41:13+00:00,2026-05-31T23:52:36+00:00,683.0,2026-05-31,0.8387392900856793,0.787222593269402,0.787649948361981,0.8352082565931046,0.8387392900856793,0.7972035037828842,0.787222593269402,0.7899782885356542,0.792344114411146,0.504249408227901,0.971860603985758,0.8580302584466275,0.9895960832313342,0.9978580171358629,3268,527,0,False,6d2339f38278cfb2125fa7c07bfebd4f6b3cacf6,main,True,/home/alexmrtr/a-look-outside/dataset/raw/sdss.h5,969a6b1cefcc36e09fffa86febd2f699a4aa19b837ba0427f01b0bc6ded458af,210234548,43f75dae44a758cc74d39aa9ccc56c56c6aff10c499bec4ee6c6fe1eb3f7d21e
12,resnet50-decals_raw-26-05-2026,/home/alexmrtr/a-look-outside/machine-learning/runs/resnet50-decals_raw-26-05-2026,/home/alexmrtr/a-look-outside/docs/models/resnet50/resnet50-decals_raw-26-05-2026-decals_raw,resnet50,decals_raw,True,natural,,True,2026-05-26T14:59:53+00:00,2026-05-26T15:10:52+00:00,659.0,2026-05-26,0.8023299511461857,0.7827081579729303,0.7800478506861801,0.7991307130353201,0.8023299511461857,0.7834909992012288,0.7827081579729303,0.7770559140185719,0.7778903120612088,0.6443669584709549,0.9690319864445472,0.841724593152577,0.9571589627959414,0.9913566328447951,2661,526,12,True,6d2339f38278cfb2125fa7c07bfebd4f6b3cacf6,main,True,/home/alexmrtr/a-look-outside/dataset/raw/decals.h5,19aefc477c41bb7f77ff07599a6b82a038dc042f889a111b0d4d98bb755c1571,2735267419,43f75dae44a758cc74d39aa9ccc56c56c6aff10c499bec4ee6c6fe1eb3f7d21e
13,efficientnet-decals_raw-26-05-2026,/home/alexmrtr/a-look-outside/machine-learning/runs/efficientnet-decals_raw-26-05-2026,/home/alexmrtr/a-look-outside/docs/models/efficientnet/efficientnet-decals_raw-26-05-2026-decals_raw,efficientnet,decals_raw,True,natural,,True,2026-05-26T14:52:53+00:00,2026-05-26T14:59:51+00:00,418.0,2026-05-26,0.7970687711386697,0.7810459991462607,0.7763202080026362,0.7938021286264444,0.7970687711386697,0.7803092427776883,0.7810459991462607,0.7705641833979251,0.7712085747848502,0.6283959907448283,0.9691426635477924,0.8326209051306712,0.9590379556557685,0.992108229988726,2661,540,12,True,6d2339f38278cfb2125fa7c07bfebd4f6b3cacf6,main,True,/home/alexmrtr/a-look-outside/dataset/raw/decals.h5,19aefc477c41bb7f77ff07599a6b82a038dc042f889a111b0d4d98bb755c1571,2735267419,43f75dae44a758cc74d39aa9ccc56c56c6aff10c499bec4ee6c6fe1eb3f7d21e
14,efficientnet-sdss_raw-31-05-2026,/home/alexmrtr/a-look-outside/machine-learning/runs/efficientnet-sdss_raw-31-05-2026,/home/alexmrtr/a-look-outside/docs/models/efficientnet/efficientnet-sdss_raw-31-05-2026-sdss_raw,efficientnet,sdss_raw,True,natural,"{'enabled': True, 'applied': True, 'methods': ['random_over_sampling'], 'apply_to': 'train_only', 'train_distribution_before': {'0': 2423, '1': 4898, '2': 4404, '3': 244, '4': 1074, '5': 12, '6': 412, '7': 785, '8': 634, '9': 363}, 'train_distribution_after': {'0': 4898, '1': 4898, '2': 4898, '3': 4898, '4': 4898, '5': 4898, '6': 4898, '7': 4898, '8': 4898, '9': 4898}, 'validation_distribution': {'0': 519, '1': 1049, '2': 944, '3': 53, '4': 230, '5': 2, '6': 89, '7': 168, '8': 136, '9': 78}, 'test_distribution': {'0': 519, '1': 1050, '2': 944, '3': 52, '4': 230, '5': 3, '6': 88, '7': 168, '8': 136, '9': 78}}",True,2026-05-31T15:47:52+00:00,2026-05-31T16:07:04+00:00,1152.0,2026-05-31,0.8341493268053856,0.6984920744651303,0.6911990585401521,0.8311671026125735,0.8341493268053856,0.6873528405724965,0.6984920744651303,0.7862534105815215,0.7870359793993158,0.48743322400084854,0.9656591461959321,0.7438697796832493,0.9877600979192166,0.9975520195838433,3268,542,9,True,6d2339f38278cfb2125fa7c07bfebd4f6b3cacf6,main,True,/home/alexmrtr/a-look-outside/dataset/raw/sdss.h5,969a6b1cefcc36e09fffa86febd2f699a4aa19b837ba0427f01b0bc6ded458af,210234548,43f75dae44a758cc74d39aa9ccc56c56c6aff10c499bec4ee6c6fe1eb3f7d21e
15,resnet50-sdss_raw-31-05-2026,/home/alexmrtr/a-look-outside/machine-learning/runs/resnet50-sdss_raw-31-05-2026,/home/alexmrtr/a-look-outside/docs/models/resnet50/resnet50-sdss_raw-31-05-2026-sdss_raw,resnet50,sdss_raw,True,natural,"{'enabled': True, 'applied': True, 'methods': ['random_over_sampling'], 'apply_to': 'train_only', 'train_distribution_before': {'0': 2423, '1': 4898, '2': 4404, '3': 244, '4': 1074, '5': 12, '6': 412, '7': 785, '8': 634, '9': 363}, 'train_distribution_after': {'0': 4898, '1': 4898, '2': 4898, '3': 4898, '4': 4898, '5': 4898, '6': 4898, '7': 4898, '8': 4898, '9': 4898}, 'validation_distribution': {'0': 519, '1': 1049, '2': 944, '3': 53, '4': 230, '5': 2, '6': 89, '7': 168, '8': 136, '9': 78}, 'test_distribution': {'0': 519, '1': 1050, '2': 944, '3': 52, '4': 230, '5': 3, '6': 88, '7': 168, '8': 136, '9': 78}}",True,2026-05-31T15:12:32+00:00,2026-05-31T15:47:52+00:00,2120.0,2026-05-31,0.8427172582619339,0.6894989157013005,0.6941078091158575,0.8378618424569046,0.8427172582619339,0.7023489820384017,0.6894989157013005,0.7958631638905427,0.7972829655699785,0.5392598108926313,0.9425149254614176,0.7441854355365033,0.9883720930232558,0.9978580171358629,3268,514,10,True,6d2339f38278cfb2125fa7c07bfebd4f6b3cacf6,main,True,/home/alexmrtr/a-look-outside/dataset/raw/sdss.h5,969a6b1cefcc36e09fffa86febd2f699a4aa19b837ba0427f01b0bc6ded458af,210234548,43f75dae44a758cc74d39aa9ccc56c56c6aff10c499bec4ee6c6fe1eb3f7d21e
16,dino-sdss_raw-26-05-2026,/home/alexmrtr/a-look-outside/machine-learning/runs/dino-sdss_raw-26-05-2026,/home/alexmrtr/a-look-outside/docs/models/dino/dino-sdss_raw-26-05-2026-sdss_raw,dino,sdss_raw,True,natural,,True,2026-05-26T10:42:03+00:00,2026-05-26T11:03:13+00:00,1270.0,2026-05-26,0.8421052631578947,0.6829374944185632,0.6833954091015331,0.8369923427511216,0.8421052631578947,0.6911168833811849,0.6829374944185632,0.7956805818837431,0.7971979016910996,0.6076138490380154,0.9085740187010092,0.7200000000305438,0.9660342717258262,0.987454100367197,3268,516,18,True,6d2339f38278cfb2125fa7c07bfebd4f6b3cacf6,main,True,/home/alexmrtr/a-look-outside/dataset/raw/sdss.h5,969a6b1cefcc36e09fffa86febd2f699a4aa19b837ba0427f01b0bc6ded458af,210234548,43f75dae44a758cc74d39aa9ccc56c56c6aff10c499bec4ee6c6fe1eb3f7d21e
17,federated_dino-sdss_decals-31-05-2026,/home/alexmrtr/a-look-outside/machine-learning/runs/federated_dino-sdss_decals-31-05-2026,/home/alexmrtr/a-look-outside/docs/models/federated_dino/federated_dino-sdss_decals-31-05-2026-global_on_decals_raw,federated_dino,global_on_decals_raw,True,natural,"{'enabled': True, 'applied': True, 'methods': ['random_over_sampling'], 'apply_to': 'train_only', 'train_distribution_before': {'0': 1840, '1': 1851, '2': 1419, '3': 234, '4': 1311, '5': 996, '6': 1280}, 'train_distribution_after': {'0': 1851, '1': 1851, '2': 1851, '3': 1851, '4': 1851, '5': 1851, '6': 1851}, 'validation_distribution': {'0': 394, '1': 397, '2': 304, '3': 50, '4': 281, '5': 213, '6': 275}, 'test_distribution': {'0': 394, '1': 397, '2': 304, '3': 50, '4': 281, '5': 214, '6': 274}}",True,2026-05-31T23:41:13+00:00,2026-05-31T23:52:29+00:00,676.0,2026-05-31,0.64576802507837,0.6242628896398311,0.5409833908876598,0.6627315011859346,0.64576802507837,0.574347392121455,0.5462300284348524,0.5844028905266205,0.5919507321513802,1.059733846637701,,0.692020048822175,0.9482758620689655,0.9890282131661442,1914,678,0,False,6d2339f38278cfb2125fa7c07bfebd4f6b3cacf6,main,True,/home/alexmrtr/a-look-outside/dataset/raw/decals.h5,19aefc477c41bb7f77ff07599a6b82a038dc042f889a111b0d4d98bb755c1571,2735267419,43f75dae44a758cc74d39aa9ccc56c56c6aff10c499bec4ee6c6fe1eb3f7d21e
18,federated_dino-sdss_decals-31-05-2026,/home/alexmrtr/a-look-outside/machine-learning/runs/federated_dino-sdss_decals-31-05-2026,/home/alexmrtr/a-look-outside/docs/models/federated_dino/federated_dino-sdss_decals-31-05-2026-client_decals_raw_on_sdss_raw,federated_dino,client_decals_raw_on_sdss_raw,True,natural,"{'enabled': True, 'applied': True, 'methods': ['random_over_sampling'], 'apply_to': 'train_only', 'train_distribution_before': {'0': 2423, '1': 4898, '2': 4404, '3': 244, '4': 1086, '5': 412, '6': 785, '7': 997}, 'train_distribution_after': {'0': 4898, '1': 4898, '2': 4898, '3': 4898, '4': 4898, '5': 4898, '6': 4898, '7': 4898}, 'validation_distribution': {'0': 519, '1': 1049, '2': 944, '3': 53, '4': 232, '5': 89, '6': 168, '7': 214}, 'test_distribution': {'0': 519, '1': 1050, '2': 944, '3': 52, '4': 233, '5': 88, '6': 168, '7': 214}}",True,2026-05-31T23:41:13+00:00,2026-05-31T23:52:45+00:00,692.0,2026-05-31,0.5685434516523867,0.5382519266106458,0.4679399499578374,0.5749970367182085,0.5685434516523867,0.4956517397827305,0.5382519266106458,0.46446241341742545,0.4848911775693221,1.431922442207339,0.9048084675580592,0.559377999729002,0.822827417380661,0.9440024479804161,3268,1410,0,False,6d2339f38278cfb2125fa7c07bfebd4f6b3cacf6,main,True,/home/alexmrtr/a-look-outside/dataset/raw/sdss.h5,969a6b1cefcc36e09fffa86febd2f699a4aa19b837ba0427f01b0bc6ded458af,210234548,43f75dae44a758cc74d39aa9ccc56c56c6aff10c499bec4ee6c6fe1eb3f7d21e
19,dino-train_sdss_raw_eval_decals_raw-31-05-2026,/home/alexmrtr/a-look-outside/machine-learning/runs/dino-train_sdss_raw_eval_decals_raw-31-05-2026,/home/alexmrtr/a-look-outside/docs/models/dino/dino-train_sdss_raw_eval_decals_raw-31-05-2026-train_sdss_raw_eval_decals_raw,dino,train_sdss_raw_eval_decals_raw,True,natural,"{'enabled': True, 'applied': True, 'methods': ['random_over_sampling'], 'apply_to': 'train_only', 'train_distribution_before': {'0': 1840, '1': 1851, '2': 1419, '3': 234, '4': 1311, '5': 996, '6': 1280}, 'train_distribution_after': {'0': 1851, '1': 1851, '2': 1851, '3': 1851, '4': 1851, '5': 1851, '6': 1851}, 'validation_distribution': {'0': 394, '1': 397, '2': 304, '3': 50, '4': 281, '5': 213, '6': 275}, 'test_distribution': {'0': 394, '1': 397, '2': 304, '3': 50, '4': 281, '5': 214, '6': 274}}",True,2026-05-31T22:44:13+00:00,2026-05-31T23:24:47+00:00,2434.0,2026-05-31,0.5308254963427377,0.4983037769164738,0.435175449568715,0.5423694312167322,0.5308254963427377,0.4899357966056473,0.4360158048019146,0.4468001560365682,0.45637129412574534,1.5839328319181358,,0.5529406840586829,0.867816091954023,0.9399164054336469,1914,898,14,True,6d2339f38278cfb2125fa7c07bfebd4f6b3cacf6,main,True,/home/alexmrtr/a-look-outside/dataset/raw/decals.h5,19aefc477c41bb7f77ff07599a6b82a038dc042f889a111b0d4d98bb755c1571,2735267419,43f75dae44a758cc74d39aa9ccc56c56c6aff10c499bec4ee6c6fe1eb3f7d21e
20,federated_dino-sdss_decals-31-05-2026,/home/alexmrtr/a-look-outside/machine-learning/runs/federated_dino-sdss_decals-31-05-2026,/home/alexmrtr/a-look-outside/docs/models/federated_dino/federated_dino-sdss_decals-31-05-2026-client_sdss_raw_on_decals_raw,federated_dino,client_sdss_raw_on_decals_raw,True,natural,"{'enabled': True, 'applied': True, 'methods': ['random_over_sampling'], 'apply_to': 'train_only', 'train_distribution_before': {'0': 1840, '1': 1851, '2': 1419, '3': 234, '4': 1311, '5': 996, '6': 1280}, 'train_distribution_after': {'0': 1851, '1': 1851, '2': 1851, '3': 1851, '4': 1851, '5': 1851, '6': 1851}, 'validation_distribution': {'0': 394, '1': 397, '2': 304, '3': 50, '4': 281, '5': 213, '6': 275}, 'test_distribution': {'0': 394, '1': 397, '2': 304, '3': 50, '4': 281, '5': 214, '6': 274}}",True,2026-05-31T23:41:13+00:00,2026-05-31T23:52:39+00:00,686.0,2026-05-31,0.5470219435736677,0.48373953764977434,0.4445239752862401,0.5693994240231519,0.5470219435736677,0.4969581010763476,0.4232720954435525,0.4633575443203354,0.4686341516024003,1.4915106055628382,,0.5653681706783596,0.8646812957157785,0.9493207941483803,1914,867,0,False,6d2339f38278cfb2125fa7c07bfebd4f6b3cacf6,main,True,/home/alexmrtr/a-look-outside/dataset/raw/decals.h5,19aefc477c41bb7f77ff07599a6b82a038dc042f889a111b0d4d98bb755c1571,2735267419,43f75dae44a758cc74d39aa9ccc56c56c6aff10c499bec4ee6c6fe1eb3f7d21e
